WBS Element,Project,Project Type
1201200,Sales Quote Support,Support
1604784,Sales Quote Support,Support
1606384,Factory Order Support,Support
5200807450,Factory Order Support,Support
5200807450,Factory Order Support,Support
5200829047,Factory Order Support,Support
5200851495,Factory Order Support,Support
5210000695,Factory Order Support,Support
5210000975,Factory Order Support,Support
5210001283,Factory Order Support,Support
5210001815,R&D FS Support,Support
5210002005,Factory Order Support,Support
5210002313,Factory Order Support,Support
5210002437,Factory Order Support,Support
5436116 0080,8D's GH180 AC,Maintenance
5436116 0145,8D's GH180 AC,Maintenance
5436116 0146,8D's GH180 AC,Maintenance
5436116 0148,8D's GH180 AC,Maintenance
5436116 0153,8D's GH180 AC,Maintenance
5436116 0154,8D's GH180 AC,Maintenance
5436116 0156,8D's GH180 AC,Maintenance
5436116 0157,8D's GH180 AC,Maintenance
5436116 0158,8D's GH180 AC,Maintenance
5436116 0160,8D's GH180 AC,Maintenance
5436116 0162,8D's GH180 AC,Maintenance
5436116 0163,8D's GH180 AC,Maintenance
5436222 4400,Maint GH180 WC,Maintenance
5436254 0200,Compliance ,Support
5436254 0300,R&D FS Support,Support
5436254 0400,Other Sup SII,Support
5436254 0500,Other Sup SII,Support
5436254 1200,R&D FS Support,Support
5436256 1000,Factory Order Support,Support
5436258 0100,Factory Order Support,Support
5436258 0500,Factory Order Support,Support
5439334 0100,Factory Order Support,Support
5439334 0700,Factory Order Support,Support
56AI-0001180.01.01,Maint GH180 WC,Support
56AI-0002071.01,Control Dig VS,R&D Projects
56AI-0002071.01.01,Control Dig VS,R&D Projects
56AI-0002225.01.01,Adv Dev GH180,R&D Projects
56AI-0002266.01.01,Adv Dev GH180,R&D Projects
56AI-0002266.01.02,Adv Dev GH180,R&D Projects
56AI-0002266.01.04,Adv Dev GH180,R&D Projects
56AI-0002266.01.06,Adv Dev GH180,R&D Projects
56AI-0002374.02,Smart Cell/4Q,R&D Projects
56AI-0002374.06,Control Dig VS,R&D Projects
56AI-0002394.01.04,High Power VS,R&D Projects
56AI-0002394.02.01,Adv Dev GH150,R&D Projects
56AI-0002405.01,One Control,R&D Projects
56AI-0002405.01.01,One Control,R&D Projects
56AI-0002405.01.02,One Control,R&D Projects
56AI-0002452.07,SEDS1,R&D Projects
56AI-0002452.08,SEDS1,R&D Projects
56AI-0002452.09,SEDS1,R&D Projects
56AI-0002459.01,High Power VS,R&D Projects
56AI-0002459.02,Low Power VS,R&D Projects
56AI-0002459.03,Control Dig VS,R&D Projects
56AI-0002460.01,Maint GH180 AC,Maintenance
56AI-0002460.01.01,Maint GH180 AC,Maintenance
56AI-0002460.02,Maint GH180 WC,Maintenance
56AI-0002460.02.01,Maint GH180 WC,Maintenance
56AI-0002460.03,Maint GH150,Maintenance
56AI-0002460.03.01,Maint GH150,Maintenance
56AI-0002460.04,Maint Other,Maintenance
56AI-0002460.04.01,Maint Other,Maintenance
56AI-0003333.01.01,Indirect,Non-Project Charges
56AI-0003333.01.02,Indirect,Non-Project Charges
56AI-0003333.01.04,Indirect,Non-Project Charges
56AI-0003333.01.05,Indirect,Non-Project Charges
56AI-0003333.01.06,Indirect,Non-Project Charges
56AI-0003333.01.14,Indirect,Non-Project Charges
56AI-0006000.01.03.95,8D's GH180 AC,Maintenance
56AI-0006000.01.04.39,8D's GH180 AC,Maintenance
56AI-0006000.01.04.44,8D's GH180 AC,Maintenance
56AI-0006000.02.03.83,8D's GH180 WC,Maintenance
56AI-0006000.02.06.07,8D's GH180 WC,Maintenance
